Robot type,Avg. #links,Avg. #joints
robotic arm,11.1139896373057,10.119170984455959
end effector,9.708333333333334,8.791666666666666
mobile robot,12.5,11.5
humanoid robot,63.33898305084746,62.47457627118644
dual arm robot,32.666666666666664,31.666666666666668
mobile manipulator,57.57142857142857,58.42857142857143
quadrupedal robot,18.75,17.75
