Robot type,Avg. #links,Avg. #joints
robotic arm,11.11111111111111,10.116161616161616
end effector,10.217391304347826,9.217391304347826
mobile robot,12.5,11.5
humanoid robot,339.72727272727275,335.09090909090907
dual arm robot,32.666666666666664,31.666666666666668
mobile manipulator,50.375,51.125
quadrupedal robot,18.75,17.75
