,ros-industrial,matlab,robotics-toolbox,drake,oems,random
ros-industrial,0,15,5,0,0,2
matlab,15,0,9,1,7,7
robotics-toolbox,5,9,0,1,2,9
drake,0,1,1,0,0,1
oems,0,7,2,0,0,1
random,2,7,9,1,1,0
